Conjunction data for RBSPa and FU4 from Shumko file FU4_RBSPA_conjunctions_dL10_dMLT10_hr_final.txt
Tstart = start of conjunction
Tend = end of conjunction
Tmin = time of closest conjunction (defined from minimum absolute separation)
Lrb = L value (rbspa) during min separation time
Lfb = L value (FU4) during min separation time
MLTrb = MLT value (rbspa) during min separation time
MLTfb = MLT value (FU4) during min separation time
distmin = minimum |separation| in RE b/t rbspa and FU4 at Tminsep
dLmin = |delta L| of rbspa) during min separation time
dMLTmin = |delta MLT| of rbspa) during min separation time
col = max collimated detector FB flux during conjunction (detrended over 0.1 sec to get rid of roll variation)
sur = max surface detector FB flux during conjunction (detrended over 0.1 sec to get rid of roll variation)
EMFb = number of sec of EMFISIS burst data within +/-60 min of middle conjunction time
B1b = number of sec of EFW burst 1 data within +/-60 min of middle conjunction time
B2b = number of sec of EFW burst 2 data within +/-60 min of middle conjunction time
Total spectral non-chorus (10Hz<f<0.1fce_eq) Efield power within +/-60 min of middle conjunction time
Max   spectral non-chorus (10Hz<f<0.1fce_eq) Efield power within +/-60 min of middle conjunction time
Avg (nonzero values only) spectral non-chorus (10Hz<f<0.1fce_eq) Efield power within +/-60 min of middle conjunction time
Median (nonzero values only) spectral non-chorus (10Hz<f<0.1fce_eq) Efield power within +/-60 min of middle conjunction time
Total spectral lower band chorus (0.1fce_eq<f<0.5fce_eq) Efield power within +/-60 min of middle conjunction time
Max   spectral lower band chorus (0.1fce_eq<f<0.5fce_eq) Efield power within +/-60 min of middle conjunction time
Avg (nonzero values only) spectral lower band chorus (0.1fce_eq<f<0.5fce_eq) Efield power within +/-60 min of middle conjunction time
Median (nonzero values only) spectral lower band chorus (0.1fce_eq<f<0.5fce_eq) Efield power within +/-60 min of middle conjunction time
Total spectral upper band chorus (f>0.5fce_eq) Efield power within +/-60 min of middle conjunction time
Max   spectral upper band chorus (f>0.5fce_eq) Efield power within +/-60 min of middle conjunction time
Avg (nonzero values only) spectral upper band chorus (f>0.5fce_eq) Efield power within +/-60 min of middle conjunction time
Median (nonzero values only) spectral upper band chorus (f>0.5fce_eq) Efield power within +/-60 min of middle conjunction time
Total spectral non-chorus (10Hz<f<0.1fce_eq) Bfield power within +/-60 min of middle conjunction time
Max   spectral non-chorus (10Hz<f<0.1fce_eq) Bfield power within +/-60 min of middle conjunction time
Avg (nonzero values only) spectral non-chorus (10Hz<f<0.1fce_eq) Bfield power within +/-60 min of middle conjunction time
Median (nonzero values only) spectral non-chorus (10Hz<f<0.1fce_eq) Bfield power within +/-60 min of middle conjunction time
Total spectral lower band chorus (0.1fce_eq<f<0.5fce_eq) Bfield power within +/-60 min of middle conjunction time
Max   spectral lower band chorus (0.1fce_eq<f<0.5fce_eq) Bfield power within +/-60 min of middle conjunction time
Avg (nonzero values only) spectral lower band chorus (0.1fce_eq<f<0.5fce_eq) Bfield power within +/-60 min of middle conjunction time
Median (nonzero values only) spectral lower band chorus (0.1fce_eq<f<0.5fce_eq) Bfield power within +/-60 min of middle conjunction time
Total spectral upper band chorus (f>0.5fce_eq) Bfield power within +/-60 min of middle conjunction time
Max   spectral upper band chorus (f>0.5fce_eq) Bfield power within +/-60 min of middle conjunction time
Avg (nonzero values only) spectral upper band chorus (f>0.5fce_eq) Bfield power within +/-60 min of middle conjunction time
Median (nonzero values only) spectral upper band chorus (f>0.5fce_eq) Bfield power within +/-60 min of middle conjunction time
The remaining columns are max EFW filter bank amplitudes (pT, mV/m) within +/-60 min of middle conjunction time
 
Tstart              Tend                Tmin				    Lrb       Lfb      MLTrb    MLTfb   distmin	 dLmin	dMLTmin    col	    sur    EMFb   B1b   B2b  SpecETot_lf  SpecEMax_lf  SpecEAvg_lf  SpecEMed_lf    SpecETot_lb  SpecEMax_lb  SpecEAvg_lb  SpecEMed_lb    SpecETot_ub  SpecEMax_ub  SpecEAvg_ub  SpecEMed_ub    SpecBTot_lf  SpecBMax_lf  SpecBAvg_lf  SpecBMed_lf  SpecBTot_lb  SpecBMax_lb  SpecBAvg_lb  SpecBMed_lb    SpecBTot_ub  SpecBMax_ub  SpecBAvg_ub  SpecBMed_ub  7E4 7E5  7E6  7B4  7B5  7B6 13E7 13E8 13E9 13E10 13E11 13E12 13B7 13B8 13B9 13B10 13B11 13B12
2015-06-11/19:26:23 2015-06-11/19:27:17 2015-06-11/19:26:32     5.78     5.44    18.63    19.97   1.98660    0.339    1.340     7.87     0.00   779     0     0           7.53       0.012413       0.000833       0.000388           0.05       0.000931       0.000133       0.000078           0.00            NaN           -NaN            NaN      104685.19     128.859412       2.697516       0.168920         299.74       2.661585       0.185139       0.073341           0.00            NaN           -NaN            NaN    0    0    0   45    7    3    0    0    0    0    0    0    0    0    0    0    0    0
2015-08-25/07:50:28 2015-08-25/07:51:46 2015-08-25/07:50:58     5.18     4.89    17.34    18.11   1.06282    0.290    0.777     1.84     0.00   719     0     0          49.56       0.158887       0.002871       0.000621           0.00            NaN           -NaN            NaN           0.00            NaN           -NaN            NaN       14350.05      24.230678       0.445432       0.152808           0.00            NaN           -NaN            NaN           0.00            NaN           -NaN            NaN    0    0    0    6    2    4    0    0    0    0    0    0    0    0    0    0    0    0
2015-11-18/09:51:37 2015-11-18/09:52:56 2015-11-18/09:52:16     5.77     5.64    12.96    13.13   0.28504    0.130    0.170     2.90     0.00   265     0     0           2.00       0.043032       0.000263       0.000103           0.00            NaN           -NaN            NaN           0.00            NaN           -NaN            NaN       46795.29      23.382521       1.124157       0.266122         113.28       0.678517       0.047938       0.019558           0.00            NaN           -NaN            NaN    0    0    0   39   10    8    0    0    0    0    0    0    0    0    0    0    0    0
2015-12-03/15:43:44 2015-12-03/15:45:03 2015-12-03/15:44:17     5.66     5.75    11.49    11.16   0.50954   -0.093    0.336     4.34     0.00   289     0     0           1.77       0.132406       0.000701       0.000103           0.04       0.001862       0.000171       0.000078           0.00       0.000026       0.000026       0.000026        4525.35       3.028835       0.153038       0.052050         125.77       1.907644       0.112091       0.023854           0.00            NaN           -NaN            NaN    0    0    0   30   41    3    0    0    0    0    0    0    0    0    0    0    0    0
2015-12-12/14:24:44 2015-12-12/14:26:09 2015-12-12/14:25:48     5.46     4.98    11.04    11.84   1.18579    0.484    0.794     3.93     0.00   292     0     7           0.85       0.011586       0.000140       0.000078           2.81       0.052962       0.001159       0.000362           1.84       0.052962       0.001422       0.000259        4470.96       1.817301       0.126117       0.047069           3.21       0.413135       0.006556       0.002165           0.67       0.047344       0.007928       0.004566    0    2    1    9   91   32    0    0    0    0    0    0    0    0    0    0    0    0
2016-01-14/19:02:56 2016-01-14/19:04:22 2016-01-14/19:03:25     5.18     5.37     9.77    10.48   0.99413   -0.193    0.707     3.31     0.00   517     0    75         884.06       3.177741       0.033006       0.004551           0.09       0.009930       0.000609       0.000103           0.23       0.014896       0.000467       0.000129       10820.27      18.026966       0.390468       0.262765           0.00            NaN           -NaN            NaN           0.00            NaN           -NaN            NaN    1    2   11    6    6   47    0    0    0    0    0    0    0    0    0    0    0    0
2016-01-20/19:42:47 2016-01-20/19:43:51 2016-01-20/19:43:20     5.77     5.76    10.67    10.42   0.38754    0.006    0.257    10.33     0.00   290     0     7           5.38       0.529623       0.001629       0.000078          38.32       0.529623       0.006485       0.001034           2.49       0.029791       0.001645       0.000517        4554.75     166.533086       0.223283       0.051776        2544.76      86.482284       0.522431       0.050768           0.68       0.051290       0.002912       0.001165    1   11    6  158  665   29    0    0    0    0    0    0    0    0    0    0    0    0
2016-01-21/22:42:23 2016-01-21/22:43:17 2016-01-21/22:42:47     5.94     5.91    10.73    10.28   0.68564    0.027    0.442    19.68     0.00   910     0   190           3.26       0.052962       0.000535       0.000103         219.82       1.906644       0.017686       0.001241           0.44       0.119165       0.005448       0.000414        4300.21       3.568525       0.167467       0.055745        5602.78     102.206336       0.545389       0.039396           0.00            NaN           -NaN            NaN    2   29    3   71 1131   34    0    0    0    0    0    0    0    0    0    0    0    0
2016-01-22/00:16:57 2016-01-22/00:17:12 2016-01-22/00:17:37     5.62     5.35    11.87    10.54   1.91875    0.269    1.331     9.57     0.00   205     0    39           0.33       0.016551       0.000153       0.000052          69.34       0.847398       0.009176       0.002069           4.27       0.264812       0.002245       0.000517        2850.82       2.019223       0.156949       0.072911          93.59       4.590409       0.045236       0.007951           0.01       0.002466       0.001297       0.001516    0   26    6    7  798   69    0    0    0    0    0    0    0    0    0    0    0    0
2016-08-13/23:53:56 2016-08-13/23:55:52 2016-08-13/23:54:54     4.55     4.55     1.58     1.47   0.12807   -0.003    0.107     3.16     0.00   373     0     0        1090.37       5.508084       0.099595       0.001034           0.92       0.059583       0.000521       0.000181           0.01       0.002689       0.000392       0.000129       37950.62    1886.132383       1.093016       0.074344           0.00            NaN           -NaN            NaN           0.00            NaN           -NaN            NaN    0    0    0   14   29   19    0    0    0    0    0    0    0    0    0    0    0    0
2016-08-14/00:26:52 2016-08-14/00:27:56 2016-08-14/00:27:18     5.06     5.00     2.11     1.59   0.68607    0.057    0.519     8.02     0.00   384     0     0        1722.31       5.931783       0.150473       0.001862           6.22       0.145646       0.001673       0.000233           0.04       0.004965       0.000406       0.000129        3123.11       2.624990       0.200830       0.051112           0.00            NaN           -NaN            NaN           0.00            NaN           -NaN            NaN    0    0    0   14   18   13    0    0    0    0    0    0    0    0    0    0    0    0
2016-08-14/08:18:50 2016-08-14/08:21:17 2016-08-14/08:19:40     3.94     3.55     0.87    24.00   0.93591    0.389    0.872     1.43     0.00   146     0    35           3.48       0.198609       0.001416       0.000103           0.03       0.006620       0.000503       0.000129           0.02       0.006620       0.000698       0.000284        8015.74       7.229803       0.218490       0.069178           0.00            NaN           -NaN            NaN           0.00            NaN           -NaN            NaN    0    0    3   27   26   14    0    0    0    0    0    0    0    0    0    0    0    0
2016-08-21/20:49:13 2016-08-21/20:50:07 2016-08-21/20:49:47     5.35     5.36     2.17     2.00   0.24331   -0.008    0.173     5.26     0.00   292     0    59         592.71     101.687704       0.045530       0.001138          11.68       0.158887       0.005002       0.001138           2.95       0.072823       0.006300       0.002069       58004.80     494.835448       2.577762       0.129078         228.50       8.122930       0.211772       0.067691           3.17       0.237429       0.018422       0.007420    0    0    8    6  316   25    0    0    0    0    0    0    0    0    0    0    0    0
