Conjunction data for RBSPb and FU4 from Shumko file FU4_RBSPB_conjunctions_dL10_dMLT10_hr_final.txt
Tstart = start of conjunction
Tend = end of conjunction
Tmin = time of closest conjunction (defined from minimum absolute separation)
Lrb = L value (rbspb) during min separation time
Lfb = L value (FU4) during min separation time
MLTrb = MLT value (rbspb) during min separation time
MLTfb = MLT value (FU4) during min separation time
distmin = minimum |separation| in RE b/t rbspb and FU4 at Tminsep
dLmin = |delta L| of rbspb) during min separation time
dMLTmin = |delta MLT| of rbspb) during min separation time
col = max collimated detector FB flux during conjunction
sur = max surface detector FB flux during conjunction
EMFb = number of sec of EMFISIS burst data within +/-60 min of middle conjunction time
B1b = number of sec of EFW burst 1 data within +/-60 min of middle conjunction time
B2b = number of sec of EFW burst 2 data within +/-60 min of middle conjunction time
Total spectral non-chorus (10Hz<f<0.1fce_eq) Efield power within +/-60 min of middle conjunction time
Max   spectral non-chorus (10Hz<f<0.1fce_eq) Efield power within +/-60 min of middle conjunction time
Avg (nonzero values only) spectral non-chorus (10Hz<f<0.1fce_eq) Efield power within +/-60 min of middle conjunction time
Median (nonzero values only) spectral non-chorus (10Hz<f<0.1fce_eq) Efield power within +/-60 min of middle conjunction time
Total spectral lower band chorus (0.1fce_eq<f<0.5fce_eq) Efield power within +/-60 min of middle conjunction time
Max   spectral lower band chorus (0.1fce_eq<f<0.5fce_eq) Efield power within +/-60 min of middle conjunction time
Avg (nonzero values only) spectral lower band chorus (0.1fce_eq<f<0.5fce_eq) Efield power within +/-60 min of middle conjunction time
Median (nonzero values only) spectral lower band chorus (0.1fce_eq<f<0.5fce_eq) Efield power within +/-60 min of middle conjunction time
Total spectral upper band chorus (f>0.5fce_eq) Efield power within +/-60 min of middle conjunction time
Max   spectral upper band chorus (f>0.5fce_eq) Efield power within +/-60 min of middle conjunction time
Avg (nonzero values only) spectral upper band chorus (f>0.5fce_eq) Efield power within +/-60 min of middle conjunction time
Median (nonzero values only) spectral upper band chorus (f>0.5fce_eq) Efield power within +/-60 min of middle conjunction time
Total spectral non-chorus (10Hz<f<0.1fce_eq) Bfield power within +/-60 min of middle conjunction time
Max   spectral non-chorus (10Hz<f<0.1fce_eq) Bfield power within +/-60 min of middle conjunction time
Avg (nonzero values only) spectral non-chorus (10Hz<f<0.1fce_eq) Bfield power within +/-60 min of middle conjunction time
Median (nonzero values only) spectral non-chorus (10Hz<f<0.1fce_eq) Bfield power within +/-60 min of middle conjunction time
Total spectral lower band chorus (0.1fce_eq<f<0.5fce_eq) Bfield power within +/-60 min of middle conjunction time
Max   spectral lower band chorus (0.1fce_eq<f<0.5fce_eq) Bfield power within +/-60 min of middle conjunction time
Avg (nonzero values only) spectral lower band chorus (0.1fce_eq<f<0.5fce_eq) Bfield power within +/-60 min of middle conjunction time
Median (nonzero values only) spectral lower band chorus (0.1fce_eq<f<0.5fce_eq) Bfield power within +/-60 min of middle conjunction time
Total spectral upper band chorus (f>0.5fce_eq) Bfield power within +/-60 min of middle conjunction time
Max   spectral upper band chorus (f>0.5fce_eq) Bfield power within +/-60 min of middle conjunction time
Avg (nonzero values only) spectral upper band chorus (f>0.5fce_eq) Bfield power within +/-60 min of middle conjunction time
Median (nonzero values only) spectral upper band chorus (f>0.5fce_eq) Bfield power within +/-60 min of middle conjunction time
The remaining columns are max EFW filter bank amplitudes (pT, mV/m) within +/-60 min of middle conjunction time
 
Tstart              Tend                Tmin				    Lrb       Lfb      MLTrb    MLTfb   distmin	 dLmin	dMLTmin    col	    sur    EMFb   B1b   B2b  SpecETot_lf  SpecEMax_lf  SpecEAvg_lf  SpecEMed_lf    SpecETot_lb  SpecEMax_lb  SpecEAvg_lb  SpecEMed_lb    SpecETot_ub  SpecEMax_ub  SpecEAvg_ub  SpecEMed_ub    SpecBTot_lf  SpecBMax_lf  SpecBAvg_lf  SpecBMed_lf  SpecBTot_lb  SpecBMax_lb  SpecBAvg_lb  SpecBMed_lb    SpecBTot_ub  SpecBMax_ub  SpecBAvg_ub  SpecBMed_ub  7E4 7E5  7E6  7B4  7B5  7B6 13E7 13E8 13E9 13E10 13E11 13E12 13B7 13B8 13B9 13B10 13B11 13B12
2015-03-25/11:43:33 2015-03-25/11:44:02 2015-03-25/11:44:03     5.84     5.73    20.66    19.38   1.92927    0.108    1.277    48.00    -1.00   242     0    15           2.31       0.033101       0.000534       0.000129           0.26       0.021516       0.001671       0.000284           0.00            NaN           -NaN            NaN           0.00       0.000016       0.000000       0.000000           0.00       0.000004       0.000000       0.000000           0.00            NaN           -NaN            NaN    1    1    0   63    7    5    0    0    0    0    0    0    0    0    0    0    0    0
2015-06-11/19:26:23 2015-06-11/19:27:17 2015-06-11/19:26:35     5.83     5.53    18.72    19.97   1.87317    0.304    1.249    34.89    -1.00   749     0     0           0.14       0.001862       0.000142       0.000052           0.00            NaN           -NaN            NaN           0.00            NaN           -NaN            NaN           0.00       0.000002       0.000000       0.000000           0.00            NaN           -NaN            NaN           0.00            NaN           -NaN            NaN    0    0    0    5    0    3    0    0    0    0    0    0    0    0    0    0    0    0
2015-11-18/09:51:37 2015-11-18/09:52:56 2015-11-18/09:52:24     5.82     5.45    12.60    13.08   0.78628    0.366    0.472    13.77    -1.00   266     0     0           1.15       0.005793       0.000206       0.000103           0.00       0.000026       0.000026       0.000026           0.00            NaN           -NaN            NaN           0.04       0.000024       0.000001       0.000000           0.00       0.000000       0.000000       0.000000           0.00            NaN           -NaN            NaN    0    0    0   34    4    3    0    0    0    0    0    0    0    0    0    0    0    0
2015-12-12/12:48:47 2015-12-12/12:49:17 2015-12-12/12:49:21     5.82     4.77    11.43    12.62   1.94284    1.054    1.187    43.17    -1.00   243     0     0           0.25       0.019861       0.000073       0.000052           0.02       0.000828       0.000077       0.000052           0.00       0.000931       0.000168       0.000078           0.00       0.000002       0.000000       0.000000           0.00       0.000000       0.000000       0.000000           0.00            NaN           -NaN            NaN    0    0    1    9   22   86    0    0    0    0    0    0    0    0    0    0    0    0
2015-12-12/14:24:33 2015-12-12/14:25:41 2015-12-12/14:25:00     5.74     6.00    12.63    12.08   0.87848   -0.255    0.548    24.37    -1.00   242     0     0           0.61       0.016551       0.000125       0.000052           0.01       0.000336       0.000051       0.000026           0.00       0.000078       0.000043       0.000026           0.00       0.000002       0.000000       0.000000           0.00       0.000000       0.000000       0.000000           0.00            NaN           -NaN            NaN    0    0    0   14   13    4    0    0    0    0    0    0    0    0    0    0    0    0
2016-01-14/19:02:42 2016-01-14/19:03:56 2016-01-14/19:03:16     5.70     5.61    11.34    10.48   1.27840    0.094    0.863    19.95    -1.00   298     0     0         238.75       2.118494       0.015874       0.001345           2.80       0.423699       0.005376       0.000672           0.16       0.018206       0.000567       0.000233           0.01       0.000089       0.000000       0.000000           0.00       0.000004       0.000000       0.000000           0.00       0.000000       0.000000       0.000000    0   10    3    9  363   24    0    0    0    0    0    0    0    0    0    0    0    0
2016-01-20/19:42:52 2016-01-20/19:43:51 2016-01-20/19:43:22     5.74     5.71    10.98    10.42   0.84100    0.038    0.561    64.75    -1.00   243     0     0          12.55       0.317774       0.005119       0.000310          17.55       0.158887       0.003606       0.000724           1.51       0.039722       0.000899       0.000259           0.01       0.000111       0.000000       0.000000           0.00       0.000020       0.000000       0.000000           0.00       0.000000       0.000000       0.000000    0    7    4   49  316   34    0    0    0    0    0    0    0    0    0    0    0    0
2016-01-21/21:08:03 2016-01-21/21:09:02 2016-01-21/21:08:34     5.63     5.56     9.68    10.26   0.84898    0.073    0.578    69.77    -1.00   289     0    63           3.34       0.072823       0.000643       0.000129          65.52       0.794435       0.013390       0.000828          12.44       0.105925       0.003908       0.001034           0.00       0.000009       0.000000       0.000000           0.00       0.000020       0.000000       0.000000           0.00       0.000000       0.000000       0.000000    1   21    7   59  726   89    0    0    0    0    0    0    0    0    0    0    0    0
2016-01-21/22:42:23 2016-01-21/22:43:17 2016-01-21/22:42:49     5.91     5.85    10.82    10.28   0.81830    0.061    0.530    72.00    -1.00   921     0   119           0.57       0.011586       0.000205       0.000078         141.29       1.165172       0.014380       0.001345           1.22       0.423699       0.003920       0.000284           0.00       0.000005       0.000000       0.000000           0.00       0.000086       0.000000       0.000000           0.00            NaN           -NaN            NaN    1   19    5   73  948   29    0    0    0    0    0    0    0    0    0    0    0    0
2016-08-14/00:26:23 2016-08-14/00:27:46 2016-08-14/00:27:00     4.64     4.60     1.16     1.59   0.51546    0.035    0.425    26.30    -1.00   444     0     3           5.90       0.099304       0.001609       0.000388           4.99       0.185368       0.004781       0.000569           0.19       0.006620       0.000540       0.000181           0.01       0.000013       0.000000       0.000000           0.00       0.000000       0.000000       0.000000           0.00            NaN           -NaN            NaN    0    6    1   13   17    8    0    0    0    0    0    0    0    0    0    0    0    0
