Conjunction data for RBSPa and FU3 from Shumko file FU3_RBSPA_conjunctions_dL10_dMLT10_hr_final.txt
Tstart = start of conjunction
Tend = end of conjunction
Tmin = time of closest conjunction (defined from minimum absolute separation)
Lrb = L value (rbspa) during min separation time
Lfb = L value (FU3) during min separation time
MLTrb = MLT value (rbspa) during min separation time
MLTfb = MLT value (FU3) during min separation time
distmin = minimum |separation| in RE b/t rbspa and FU3 at Tminsep
dLmin = |delta L| of rbspa) during min separation time
dMLTmin = |delta MLT| of rbspa) during min separation time
col = max collimated detector FB flux during conjunction
sur = max surface detector FB flux during conjunction
EMFb = number of sec of EMFISIS burst data within +/-60 min of middle conjunction time
B1b = number of sec of EFW burst 1 data within +/-60 min of middle conjunction time
B2b = number of sec of EFW burst 2 data within +/-60 min of middle conjunction time
The remaining columns are max EFW filter bank amplitudes (pT, mV/m) within +/-60 min of middle conjunction time
 
Tstart              Tend                Tmin				    Lrb       Lfb      MLTrb    MLTfb   distmin	 dLmin	dMLTmin    col	    sur    EMFb   B1b   B2b  7E4  7E5  7E6  7B4  7B5  7B6 13E7 13E8 13E9 13E10 13E11 13E12 13B7 13B8 13B9 13B10 13B11 13B12
2015-02-01/03:51:57 2015-02-01/03:55:08 2015-02-01/03:55:01     3.39     2.76    20.43    19.34   1.07621    0.630    1.093     0.95     4.46   230     0     0    0    0    1   22   18   22    0    0    0    0    0    0    0    0    0    0    0    0
2015-04-07/23:56:48 2015-04-07/23:59:34 2015-04-07/23:57:41     3.74     3.29    18.77    18.06   0.79177    0.454    0.707     0.26     0.90     1     0     3    0    0    1   30   33   41    0    0    0    0    0    0    0    0    0    0    0    0
2015-06-11/19:29:23 2015-06-11/19:30:12 2015-06-11/19:29:30     5.79     5.46    18.66    19.97   1.94704    0.333    1.310    14.49    14.92   779     0     0    0    0    0   45    7    3    0    0    0    0    0    0    0    0    0    0    0    0
2015-06-12/13:01:44 2015-06-12/13:02:57 2015-06-12/13:02:23     5.75     5.77    18.39    18.48   0.14065   -0.019    0.092     8.88    22.07  1352     0     0    1    0    0   45   87   20    0    0    0    0    0    0    0    0    0    0    0    0
2015-06-12/22:32:28 2015-06-12/22:33:17 2015-06-12/22:32:45     5.99     5.98    18.68    19.43   1.16166    0.005    0.743     5.09    13.81  1209     0     0    0    0    0    1    1    3    0    0    0    0    0    0    0    0    0    0    0    0
2015-07-04/17:02:56 2015-07-04/17:04:03 2015-07-04/17:03:20     5.25     5.15    19.04    19.86   1.11841    0.101    0.820  5343.86  1757.86   457     0     0    0    0    0  802 1997 1791    0    0    0    0    0    0    0    0    0    0    0    0
2015-12-15/04:29:02 2015-12-15/04:29:26 2015-12-15/04:28:51     4.76     4.26    10.33    11.58   1.54773    0.507    1.246    15.44    27.00   242     0    39    0    3   12    8   79   49    0    0    0    0    0    0    0    0    0    0    0    0
2016-01-20/19:46:47 2016-01-20/19:47:46 2016-01-20/19:47:18     5.78     5.76    10.72    10.41   0.47667    0.016    0.315    49.43    29.17   290     0     7    1   11    6  158  665   29    0    0    0    0    0    0    0    0    0    0    0    0
2016-01-21/22:46:18 2016-01-21/22:47:17 2016-01-21/22:46:46     5.95     5.90    10.77    10.29   0.74930    0.042    0.483    58.22    30.85   934     0   194    2   29    3   71 1131   34    0    0    0    0    0    0    0    0    0    0    0    0
2016-05-26/09:53:25 2016-05-26/09:55:09 2016-05-26/09:53:50     3.37     3.82     9.33    10.20   0.92886   -0.454    0.865     1.62    28.07   191     0     7    0    0    1   25   64   36    0    0    0    0    0    0    0    0    0    0    0    0
2016-05-30/10:50:42 2016-05-30/10:51:26 2016-05-30/10:51:23     5.21     6.35     7.31     7.76   1.33485   -1.144    0.457    60.84    28.66   552     0    43    0   13   21    7  128   98    0    0    0    0    0    0    0    0    0    0    0    0
2016-08-16/23:26:03 2016-08-16/23:27:41 2016-08-16/23:26:59     4.47     4.46     1.39     1.54   0.17366    0.005    0.149    29.18    27.10   253  1782     0    0    0    0   10   27   49    0    0    0    0    0    0    0    0    0    0    0    0
2016-08-16/23:58:33 2016-08-16/23:59:22 2016-08-16/23:26:59     4.47     4.46     1.39     1.54   0.17366    0.005    0.149    29.18    27.10   216  1782     0    0    0    0    4   18   49    0    0    0    0    0    0    0    0    0    0    0    0
2016-08-24/20:20:57 2016-08-24/20:21:51 2016-08-24/20:21:09     5.30     6.00     2.00     2.16   0.74866   -0.708    0.165    20.05    26.42   409     0     0    1    1   26    8  208   23    0    0    0    0    0    0    0    0    0    0    0    0
2016-08-28/21:40:19 2016-08-28/21:42:22 2016-08-28/21:41:22     4.22     4.18     0.74     1.52   0.86192    0.039    0.784     0.58    28.77   218     0     0    0    0    0    6   30   26    0    0    0    0    0    0    0    0    0    0    0    0
2016-08-28/22:43:28 2016-08-28/22:44:51 2016-08-28/22:44:11     5.23     5.23     1.79     1.80   0.01432    0.000    0.010     1.16    26.87   802     0     0    0    0    0    3    5    3    0    0    0    0    0    0    0    0    0    0    0    0
2016-08-28/23:17:02 2016-08-28/23:18:03 2016-08-28/22:44:11     5.23     5.23     1.79     1.80   0.01432    0.000    0.010     1.16    26.87   885     0     0    0    0    0    3    3    3    0    0    0    0    0    0    0    0    0    0    0    0
2016-08-30/01:40:08 2016-08-30/01:41:07 2016-08-30/01:40:50     5.37     5.37     1.82     1.72   0.13796   -0.001    0.098    43.18    27.93   442  3303     0    0    0    0   64  191    9    0    0    0    0    0    0    0    0    0    0    0    0
2016-08-30/03:13:47 2016-08-30/03:14:36 2016-08-30/02:15:07     5.71     5.63     2.25     1.67   0.86684    0.084    0.582     3.98    28.28   445  5355     0    0    0    0   64  124    3    0    0    0    0    0    0    0    0    0    0    0    0
2016-08-30/19:43:47 2016-08-30/19:44:22 2016-08-30/19:43:41     5.39     4.96     1.91     1.10   1.17624    0.426    0.812    25.36    27.85   276     0    16    0    2    6   14  382  210    0    0    0    0    0    0    0    0    0    0    0    0
2016-12-24/15:12:07 2016-12-24/15:14:46 2016-12-24/15:13:36     3.55     3.42     1.87     1.50   0.36490    0.129    0.374     6.73    30.09   147     0     7    1    0   20   32  149  210    0    0    0    0    0    0    0    0    0    0    0    0
2017-01-02/13:19:37 2017-01-02/13:21:03 2017-01-02/13:20:26     4.52     4.75     0.37     1.15   0.96423   -0.230    0.773    21.22    30.09   373     0   190    0    0    7    3   21   19    0    0    0    0    0    0    0    0    0    0    0    0
2017-05-02/03:16:37 2017-05-02/03:17:31 2017-05-02/03:17:04     5.74     5.73    17.39    17.16   0.33922    0.004    0.226     1.81    28.42     3  1012     0    0    0    0   29   20   46    0    0    0    0    0    0    0    0    0    0    0    0
2017-07-01/07:33:02 2017-07-01/07:34:15 2017-07-01/07:33:44     4.83     4.82    17.40    17.61   0.25924    0.005    0.205     4.98    29.71   242     0     0    0    0    0   16    5    4    0    0    0    0    0    0    0    0    0    0    0    0
