date					  L		 MLT     mnsep	  dL	   dMLT   col	sur	  EMFb   B1b   B2b  7E4	 7E5  7E6  7B4  7B5	7B6  13E7 13E8 13E9 13E10 13E11	13E12 13B7 13B8	13B9 13B10 13B11 13B12
2015-06-11/19:26:50      5.8     18.6    1.987    0.339    1.340   722     0   779     0     0    0    0    0   45    7    3    0    0    0    0    0    0    0    0    0    0    0    0
2015-08-25/07:51:07      5.2     17.3    1.063    0.290    0.777    88     0   719     0     0    0    0    0    6    2    4    0    0    0    0    0    0    0    0    0    0    0    0
2015-11-18/09:52:16      5.8     13.0    0.285    0.130    0.170    41     0   265     0     0    0    0    0   39   10    8    0    0    0    0    0    0    0    0    0    0    0    0
2015-12-03/15:44:23      5.7     11.5    0.510   -0.093    0.336   337     0   289     0     0    0    0    0   30   41    3    0    0    0    0    0    0    0    0    0    0    0    0
2015-12-12/14:25:26      5.5     11.0    1.186    0.484    0.794    53     0   292     0     7    0    2    1    9   91   32    0    0    0    0    0    0    0    0    0    0    0    0
2016-01-14/19:03:39      5.2      9.8    0.994   -0.193    0.707    97     0   517     0    75    1    2   11    6    6   47    0    0    0    0    0    0    0    0    0    0    0    0
2016-01-20/19:43:19      5.8     10.7    0.388    0.006    0.257    64     0   290     0     7    1   11    6  158  665   29    0    0    0    0    0    0    0    0    0    0    0    0
2016-01-21/22:42:50      5.9     10.7    0.686    0.027    0.442  1048     0   910     0   190    2   29    3   71 1131   34    0    0    0    0    0    0    0    0    0    0    0    0
2016-01-22/00:17:04      5.6     11.9    1.919    0.269    1.331   462     0   205     0    39    0   26    6    7  798   69    0    0    0    0    0    0    0    0    0    0    0    0
2016-08-13/23:54:54      4.6      1.6    0.128   -0.003    0.107   244     0   133     0     0    0    0    0    9   29   19    0    0    0    0    0    0    0    0    0    0    0    0
2016-08-14/00:27:24      5.1      2.1    0.686    0.057    0.519    26     0   384     0     0    0    0    0   14   18   13    0    0    0    0    0    0    0    0    0    0    0    0
2016-08-14/08:20:03      3.9      0.9    0.936    0.389    0.872   197     0   146     0    35    0    0    3   27   26   14    0    0    0    0    0    0    0    0    0    0    0    0
2016-08-21/20:49:40      5.4      2.2    0.243   -0.008    0.173    26     0   292     0    59    0    0    8    6  316   25    0    0    0    0    0    0    0    0    0    0    0    0
2016-08-24/20:15:35      5.2      1.9    1.028   -0.944    0.273    30     0   397     0     0    0    0    0   13  191   23    0    0    0    0    0    0    0    0    0    0    0    0
2016-08-24/20:47:11      5.2      1.9    1.028   -0.944    0.273    30     0   433     0     0    1    1   26    3  224   23    0    0    0    0    0    0    0    0    0    0    0    0
2016-08-28/22:38:23      5.2      1.7    0.141    0.008    0.104    55     0   695     0     0    0    0    0    3   10    4    0    0    0    0    0    0    0    0    0    0    0    0
2016-08-28/23:11:35      5.2      1.7    0.141    0.008    0.104    55     0   921     0     0    0    0    0    3    3    3    0    0    0    0    0    0    0    0    0    0    0    0
2016-08-30/01:34:50      5.3      1.7    0.038    0.003    0.027   533     0   397  2958     0    0    0    0   64  191    9    0    0    0    0    0    0    0    0    0    0    0    0
2016-08-30/03:08:16      5.7      2.2    0.731    0.064    0.494   193     0   421  5356     0    0    0    0   64  124    3    0    0    0    0    0    0    0    0    0    0    0    0
2016-08-30/19:38:06      5.3      1.8    1.069    0.192    0.769    66     0   276     0    35    0    2   11   14  382  210    0    0    0    0    0    0    0    0    0    0    0    0
2017-07-01/07:22:19      5.0     17.2    0.532    0.008    0.405   220     0   290     0     0    0    0    0   15    5    4    0    0    0    0    0    0    0    0    0    0    0    0
2017-07-02/10:18:09      5.0     17.3    0.425    0.061    0.325    51     0   337     0     0    0    0    0   39   19   13    0    0    0    0    0    0    0    0    0    0    0    0
2017-07-02/15:09:11      5.0     14.4    0.771   -0.555    0.391    28     0   360     0    19    0    0   10   14    2   16    0    0    0    0    0    0    0    0    0    0    0    0
2017-07-03/14:20:31      3.3     18.6    0.505    0.150    0.572    11     0   707     0     0    0    0    2   33   31   36    0    0    0    0    0    0    0    0    0    0    0    0
2017-07-06/12:34:32      5.1     16.9    0.921    0.357    0.661    15     0   278     0     0    0    0    0   41   23   22    0    0    0    0    0    0    0    0    0    0    0    0
2017-07-09/11:52:32      5.4     16.6    0.103    0.024    0.071    20     0   302  4546     0    0    0    0   87   10    6    0    0    0    0    0    0    0    0    0    0    0    0
2017-07-09/18:20:14      5.6     15.0    0.588    0.431    0.282    73     0   290     5     0    0    1    0   56   91    7    0    0    0    0    0    0    0    0    0    0    0    0
2017-07-09/19:55:16      5.8     16.0    1.037    0.590    0.598    25     0   290  4353     0    0    0    0   56   91    3    0    0    0    0    0    0    0    0    0    0    0    0
2017-07-09/21:29:02      4.8     17.1    0.978    0.409    0.736    60     0   290  6178     0    0    0    0   66   22    4    0    0    0    0    0    0    0    0    0    0    0    0
2017-07-11/09:48:11      4.1     17.5    0.282    0.035    0.260    97     0  1173  2298     0    0    0    0   43   16   14    0    0    0    0    0    0    0    0    0    0    0    0
2017-07-11/14:39:32      5.4     14.6    0.638   -0.478    0.285   197     0   230     0     0    0    0    0   32    3    4    0    0    0    0    0    0    0    0    0    0    0    0
2017-07-11/16:15:29      5.8     15.6    1.226    0.985    0.532    21     0   314     0     0    0    0    0   43   33    4    0    0    0    0    0    0    0    0    0    0    0    0
2017-07-12/19:13:52      5.8     15.7    1.131    0.754    0.594    48     0   361     0     0    0    0    0   60   56    4    0    0    0    0    0    0    0    0    0    0    0    0
2017-07-16/15:01:24      4.2     17.2    1.151    0.631    0.947    55     0   361     0    19    2    0    2   60   12   13    0    0    0    0    0    0    0    0    0    0    0    0
2017-07-16/23:02:26      5.3     16.4    0.769   -0.094    0.547  3764     0   444     0     0    1    0    0  129   47    3    0    0    0    0    0    0    0    0    0    0    0    0
2017-07-17/14:51:20      5.8     15.0    0.060   -0.044    0.027  2624     0   492  5899     0    0    0    0   28   15    7    0    0    0    0    0    0    0    0    0    0    0    0
2017-07-21/17:08:29      5.7     14.7    0.498    0.414    0.191   271     0   480     0    59    0    4    1 1203 2130 2107    0    0    0    0    0    0    0    0    0    0    0    0
2017-07-21/18:43:52      5.7     15.7    1.147    0.844    0.569   240     0   469     0    15    0    3    1   16  133   39    0    0    0    0    0    0    0    0    0    0    0    0
2017-07-22/20:05:42      5.8     14.8    0.564   -0.290    0.310   166     0   482     0    59    0    5    2    7  332   36    0    0    0    0    0    0    0    0    0    0    0    0
2017-07-22/21:40:19      5.7     15.7    0.599   -0.186    0.378   157     0   481     0    47    0    5    0    4  332   10    0    0    0    0    0    0    0    0    0    0    0    0
2017-11-21/00:52:16      5.6      9.5    0.769   -0.056    0.521   575     0   289     0    63    0    3   13  108  174   52    0    0    0    0    0    0    0    0    0    0    0    0
2017-11-21/07:41:51      3.8      7.5    1.171   -0.485    1.023    11     0   266  1081    71    0    1   29   10   20   98    0    0    0    0    0    0    0    0    0    0    0    0
2017-11-21/19:47:44      6.1     10.2    0.893    0.513    0.480   417     0  2234  7127    83    1   20    0   75  665   23    0    0    0    0    0    0    0    0    0    0    0    0
2017-11-22/10:35:59      4.0      7.5    0.650   -0.021    0.616    42     0   266     0     0    0    1    6   52   37   75    0    0    0    0    0    0    0    0    0    0    0    0
